,index,TimeFrame,Location Id,Dwelling Type,Number Of Beds,Median Rent,Total Bonds
423,2879,2026-04-01,150700,ALL,ALL,700.0,21
424,2880,2026-04-01,150800,ALL,ALL,593.0,12
425,2881,2026-04-01,150900,ALL,ALL,550.0,36
426,2882,2026-04-01,151000,ALL,ALL,800.0,9
427,2883,2026-04-01,151100,ALL,ALL,705.0,24
428,2884,2026-04-01,151200,ALL,ALL,645.0,30
429,2885,2026-04-01,151300,ALL,ALL,700.0,51
430,2886,2026-04-01,151400,ALL,ALL,520.0,24
431,2887,2026-04-01,151500,ALL,ALL,770.0,24
432,2888,2026-04-01,151600,ALL,ALL,520.0,39
433,2889,2026-04-01,151800,ALL,ALL,570.0,21
434,2890,2026-04-01,151900,ALL,ALL,613.0,42
435,2891,2026-04-01,152000,ALL,ALL,650.0,24
436,2892,2026-04-01,152100,ALL,ALL,585.0,57
437,2893,2026-04-01,152200,ALL,ALL,740.0,15
438,2894,2026-04-01,152300,ALL,ALL,500.0,6
439,2895,2026-04-01,152400,ALL,ALL,630.0,33
440,2896,2026-04-01,152500,ALL,ALL,660.0,9
441,2897,2026-04-01,152600,ALL,ALL,690.0,9
442,2898,2026-04-01,152800,ALL,ALL,506.0,12
443,2899,2026-04-01,152900,ALL,ALL,750.0,15
444,2900,2026-04-01,153000,ALL,ALL,665.0,12
445,2901,2026-04-01,153100,ALL,ALL,780.0,15
446,2902,2026-04-01,153200,ALL,ALL,628.0,12
447,2903,2026-04-01,153300,ALL,ALL,630.0,27
448,2904,2026-04-01,153400,ALL,ALL,650.0,18
449,2905,2026-04-01,153500,ALL,ALL,650.0,9
450,2906,2026-04-01,153600,ALL,ALL,690.0,9
451,2907,2026-04-01,153700,ALL,ALL,820.0,15
452,2908,2026-04-01,153800,ALL,ALL,860.0,15
453,2909,2026-04-01,153900,ALL,ALL,785.0,12
454,2910,2026-04-01,154000,ALL,ALL,620.0,48
455,2911,2026-04-01,154100,ALL,ALL,700.0,27
456,2912,2026-04-01,154200,ALL,ALL,650.0,33
457,2913,2026-04-01,154300,ALL,ALL,725.0,12
458,2914,2026-04-01,154400,ALL,ALL,588.0,6
459,2915,2026-04-01,154500,ALL,ALL,665.0,15
460,2916,2026-04-01,154700,ALL,ALL,950.0,9
461,2917,2026-04-01,154800,ALL,ALL,680.0,33
462,2918,2026-04-01,154900,ALL,ALL,560.0,60
463,2919,2026-04-01,155000,ALL,ALL,698.0,21
464,2920,2026-04-01,155100,ALL,ALL,650.0,12
465,2921,2026-04-01,155200,ALL,ALL,755.0,18
466,2922,2026-04-01,155300,ALL,ALL,830.0,9
467,2923,2026-04-01,155400,ALL,ALL,760.0,24
468,2924,2026-04-01,155500,ALL,ALL,490.0,39
469,2925,2026-04-01,155600,ALL,ALL,665.0,36
470,2926,2026-04-01,155700,ALL,ALL,630.0,15
471,2927,2026-04-01,155800,ALL,ALL,693.0,18
472,2928,2026-04-01,155900,ALL,ALL,590.0,12
